code_module;code_presentation;guid_assess_id;assessment_type;days;weight
CG0C8;2024J;354EF785-822A-497B-A6E0-55FE6F9DBE9A;TMA;52;2
CG0C8;2024J;409066E1-4CD2-4F96-8DE7-32CD4E588F12;TMA;52;2
CG0C8;2024J;FF0FBE2C-5407-47EB-9DAE-C93698E58800;TMA;52;2
CG0C8;2024J;8DA8DEF1-86F0-4E42-9BAA-3E1201C15D01;TMA;52;2
CG0C8;2024J;CB8F4448-00AE-47FF-B7C6-DF41BFA1818E;TMA;52;2
CG0C8;2024J;5F3DB86D-6624-41A2-929F-F626B1635A76;TMA;52;2
CG0C8;2024J;D325AFA3-4CD0-4555-9689-BC7DB65022C6;TMA;52;2
CG0C8;2024J;6480E8EE-62B4-4D83-9868-909F010EB3AD;TMA;52;2
CG0C8;2024J;A81C527B-43BE-4FA4-993E-FD3E706A6E50;TMA;52;2
CG0C8;2024J;9D7F8AC6-35F0-402B-82D9-D9DA576B3F06;TMA;52;2
CG0C8;2024J;4C5350E3-35DF-4375-BFD9-F7BEA4079EAC;EXAM;46;6
CG0C8;2024J;822B7EE3-B8B1-4848-B1D9-7CE7B8647C7C;EXAM;47;6
CG0C8;2024J;39C970A8-31BD-4970-B1E8-21E1DEAED350;EXAM;50;10
CG0C8;2024J;2041C14E-7A65-459F-9CC9-83CFA1EC5EED;EXAM;46;6
EG043;2024J;354EF785-822A-497B-A6E0-55FE6F9DBE9A;TMA;52;2
EG043;2024J;409066E1-4CD2-4F96-8DE7-32CD4E588F12;TMA;52;2
EG043;2024J;FF0FBE2C-5407-47EB-9DAE-C93698E58800;TMA;52;2
EG043;2024J;8DA8DEF1-86F0-4E42-9BAA-3E1201C15D01;TMA;52;2
EG043;2024J;CB8F4448-00AE-47FF-B7C6-DF41BFA1818E;TMA;52;2
EG043;2024J;5F3DB86D-6624-41A2-929F-F626B1635A76;TMA;52;2
EG043;2024J;D325AFA3-4CD0-4555-9689-BC7DB65022C6;TMA;52;2
EG043;2024J;6480E8EE-62B4-4D83-9868-909F010EB3AD;TMA;52;2
EG043;2024J;A81C527B-43BE-4FA4-993E-FD3E706A6E50;TMA;52;2
EG043;2024J;9D7F8AC6-35F0-402B-82D9-D9DA576B3F06;TMA;52;2
EG043;2024J;4C5350E3-35DF-4375-BFD9-F7BEA4079EAC;EXAM;48;6
EG043;2024J;822B7EE3-B8B1-4848-B1D9-7CE7B8647C7C;EXAM;46;6
EG043;2024J;39C970A8-31BD-4970-B1E8-21E1DEAED350;EXAM;50;10
EG043;2024J;2041C14E-7A65-459F-9CC9-83CFA1EC5EED;EXAM;46;6